time,C1W,C2W,D1W,D2W,L1W,L2W,sv
2022-11-20 20:22:00,25334879.14,25334883.64,3890.734,3031.74,133135697.921,103742103.599,G18
2022-11-20 20:22:30,25312666.58,25312672.5,3890.302,3031.404,133018977.984,103651152.968,G18
2022-11-20 20:23:30,25268266.82,25268269.46,3887.858,3029.5,132785640.636,103469327.622,G18
2022-11-20 20:24:00,25246072.2,25246078.54,3886.652,3028.56,132669027.029,103378459.84,G18
2022-11-20 20:24:30,25223889.96,25223895.82,3885.005,3027.276,132552452.79,103287622.773,G18
2022-11-20 20:25:00,25201715.0,25201720.74,3883.586,3026.171,132435919.73,103196817.795,G18
2022-11-20 20:25:30,25179547.54,25179553.48,3882.044,3024.97,132319429.932,103106046.493,G18
2022-11-20 20:26:00,25157389.46,25157395.24,3880.547,3023.803,132202985.236,103015310.36,G18
2022-11-20 20:26:30,25135238.06,25135243.98,3879.234,3022.779,132086587.648,102924610.92,G18
2022-11-20 20:27:00,25113098.92,25113104.66,3877.49,3021.421,131970239.155,102833949.739,G18
2022-11-20 20:27:30,25090968.1,25090972.86,3875.637,3019.977,131853941.631,102743328.22,G18
2022-11-20 20:28:00,25068848.28,25068852.9,3874.139,3018.809,131737696.96,102652747.987,G18
2022-11-20 20:28:30,25046736.58,25046741.96,3872.143,3017.255,131621507.295,102562210.559,G18
2022-11-20 20:29:00,25024636.92,25024643.02,3869.961,3015.554,131505374.477,102471717.434,G18
2022-11-20 20:29:30,25002549.26,25002554.36,3868.038,3014.055,131389300.47,102381270.125,G18
2022-11-20 20:30:00,24980472.08,24980477.72,3866.06,3012.515,131273287.246,102290870.172,G18
2022-11-20 20:30:30,24958408.28,24958414.14,3864.024,3010.928,131157336.644,102200519.059,G18
2022-11-20 20:31:00,24936355.72,24936360.62,3861.642,3009.072,131041450.744,102110218.37,G18
2022-11-20 20:31:30,24914316.4,24914321.54,3859.638,3007.51,130925631.449,102019969.559,G18
2022-11-20 20:32:00,24892290.32,24892294.62,3857.24,3005.641,130809880.772,101929774.232,G18
2022-11-20 20:32:30,24870277.08,24870280.96,3854.849,3003.778,130694200.594,101839633.825,G18
2022-11-20 20:33:00,24848276.8,24848281.7,3852.313,3001.802,130578592.909,101749549.902,G18
2022-11-20 20:33:30,24826291.82,24826296.82,3849.658,2999.734,130463059.645,101659523.94,G18
2022-11-20 20:34:00,24804321.46,24804327.34,3847.282,2997.882,130347602.722,101569557.514,G18
